Timestamp,User ID,Message
2024-03-29 16:03:23,U02JTA96VQV,<@U02JTA96VQV>さんがチャンネルに参加しました
2024-03-29 16:03:23,U02JTABJMBP,<@U02JTABJMBP>さんがチャンネルに参加しました
2024-03-29 16:03:23,U02JYG30VU4,<@U02JYG30VU4>さんがチャンネルに参加しました
2024-03-29 16:03:23,U02JYG3TA68,<@U02JYG3TA68>さんがチャンネルに参加しました
2024-03-29 16:03:24,U04FYJ9QULT,<@U04FYJ9QULT>さんがチャンネルに参加しました
2024-03-29 16:07:31,U02KL07H5L0,"<!subteam^S05ST3PG3LY>
お疲れ様です。
「ボクサー」の関係情報に以下の登録をお願いします:man-bowing:。
カスタマーエクスペリエンス部
• 山口　輝子
• 柿本　一美
• 今井　聡美
• 伊藤　雄一郎	
• 稲川　真樹
• 横島　恵美子
• 釼持　夏海
法務・コンプライアンス部
• 飯野　裕
• 安藤　凌斗
• 池川　和志
• 家城　正純
• 矢口　一男
• 石川　成珠"
2024-04-01 14:49:39,U02JTAB3LLV,"<!subteam^S02G5DW9ZQS>
③～⑤はKYCでご回答いただけると助かります。
<@U02KL07H5L0>
確認されたい内容と齟齬がありましたら申し訳ありません。
①強制退会ユーザーについて
Adminのステータスだけでは判別不可。
アカウントメモの情報と併せて確認可能です。

②強制退会に関してはその理由により文面が異なります。
顧客による退会の場合は以下の通りです。
退会退会申請時
件名：【Coincheck】退会申請を受け付けました
```Coincheckカスタマーサポートでございます。

退会申請を受け付けいたしました。

■退会完了予定日：yyyy/mm/dd（申請日翌日）

退会完了後は、ログインができなくなります。
これまでの取引履歴が必要な場合、退会完了となる前にお客様ご自身で取得する必要がございます。

以下URLより、CSVファイルをダウンロードくださいますようお願いいたします。
<https://coincheck.com/ja/monthly_trade/confirmations>

なお、誤って退会申請された場合は、「退会申請をキャンセルする」ボタンを押下ください。
退会申請がキャンセルされます。

その他、ご不明な点がございましたら以下フォームよりご連絡ください。

■お問い合わせフォーム
<https://coincheck.com/ja/info/help_contact>```
退会自動退会済み
件名：【Coincheck】退会完了のお知らせ
```Coincheckカスタマーサポートでございます。

退会の手続きが完了いたしました。

※個人情報等は、法令に従い、弊社にて厳重に管理いたします。
※利用再開をご希望される場合は、改めてお申し込みをくださいますよう、お願いいたします。

その他、ご不明な点がございましたら以下フォームよりご連絡ください。

■お問い合わせフォーム
<https://coincheck.com/ja/info/help_contact>

これまでCoincheckをご愛顧いただき誠にありがとうございました。
またのご利用を心よりお待ち申し上げます。```
<!subteam^S6L6YBM3K>
補足等あれば添えていただけると助かりますmm"
2024-05-01 15:59:49,U03KS3QP47N,<@U03KS3QP47N>さんがチャンネルに参加しました
2024-05-07 09:45:57,U02JWA0SBM0,"<@U02KL07H5L0>
おはようございます。
ボクサーについて「付与方針（付与は未定である旨）をメールで付与対象者に通知する」件、ご準備ありがとうございます。

現在ボクサーに関して、「コインチェックはボクサーを受け取ったという理解でよいか」明確に確認を求めてくるユーザー様がいらっしゃいます。
本件に関しては「（付与可否は別にして）当社は受け取っており、取扱については検討を進めている」と回答しても良いか、ニュアンス含めてアドバイスをいただけると幸いです:dogeza:

CC: <@U02JFKBESGP> <@U02KL07LWJU> <@U02JFK7NVKR> <@U043GTGM076> <@U03PT04TWBH> <@U02JTAB3LLV>"
2024-05-14 14:21:37,U03A4QCP9EF,<@U03A4QCP9EF>さんがチャンネルに参加しました
